"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20221231"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","7.8"," ","5,000","null","202201","8"," ","1998","","중개거래","경기 수원영통구"
"서울특별시 강남구 개포동","집합","1*","개포로","제3종일반주거","제1종근린생활","25m이상","12.32"," ","21,500","null","202201","14"," ","1995","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","22,950","18","202201","24"," ","1997","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","31.91"," ","23,000","17","202201","24"," ","1997","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1***","선릉로","제2종일반주거","제2종근린생활","25m이상","7.48"," ","10,000","null","202201","27"," ","2019","","직거래","-"
"서울특별시 강남구 개포동","집합","1***","선릉로","제2종일반주거","제2종근린생활","25m이상","7.48"," ","10,000","null","202201","27"," ","2019","","직거래","-"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제2종근린생활","25m이상","21.5"," ","193,000","null","202202","5"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1***","논현로16길","제2종일반주거","제2종근린생활","8m미만","36.68"," ","28,000","null","202202","8"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 개포동","집합","1*","개포로","제3종일반주거","제1종근린생활","25m이상","12.32"," ","21,500","1","202202","14"," ","1995","20220323","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","14.36"," ","70,000","1","202202","21"," ","1998","","직거래","-"
